Airline,AvgDepartureDelay
"Hawaiian Airlines Inc.",54.3871
"Endeavor Air Inc.",17.0863
"ExpressJet Airlines Inc.",11.9143
"Envoy Air",9.2123
"JetBlue Airways",8.5383
